ipo_firm,assignee_firm,assignee_id,ticker,is_common,patent_cnt,assignee_id
"ACTMEDIA, INC.","Actmedia, Inc.",org_vCbNSu0XPMYZVX6KRLsv,ACTM,0,8,org_vCbNSu0XPMYZVX6KRLsv
Actuate Software Corp,Actuate Software Corporation,org_Qf9UCCD9dU0DQ7Y6bv8p,ACTU,0,2,org_Qf9UCCD9dU0DQ7Y6bv8p
ACTV Inc.,"ACTV, Inc.",org_3VHmpgCAF6c1JYgAO6hg,IATV,0,30,org_3VHmpgCAF6c1JYgAO6hg
Acuson,Acuson Corporation,org_i3qkkBwGEEN8DAOM0SCm,ACSN,0,399,org_i3qkkBwGEEN8DAOM0SCm
Acusphere Inc,"Acusphere, Inc.",org_IaOA2CGvON93704Fz8NC,ACUS,0,27,org_IaOA2CGvON93704Fz8NC
Adamas Pharmaceuticals Inc,"Adamas Pharmaceuticals, Inc.",org_Zzw3cCv8c2UK9CiRTveS,ADMS,0,27,org_Zzw3cCv8c2UK9CiRTveS
Adams Golf Inc,"Adams Golf I. P., L.P.",org_09wpIkdK4xfPdmjOHrQf,ADGO,1,1,org_09wpIkdK4xfPdmjOHrQf
Adams Golf Inc,"Adams Golf IP, L.P.",org_WwND7qWqnaBRhDmJvdpS,ADGO,1,60,org_WwND7qWqnaBRhDmJvdpS
Adaptec,ADAPTEC MEDICAL DEVICES LLC,org_vEmsABHV7314zsjZoeBN,ADPT,0,2,org_vEmsABHV7314zsjZoeBN
Adaptec,"Adaptec, Inc.",org_sHSYGP9dP9FNtj2nghFF,ADPT,0,456,org_sHSYGP9dP9FNtj2nghFF
Adaptive Solutions Inc,"Adaptive Solutions, Inc.",org_9JtqJMaA1h3ZCo8gbehi,ADSO,1,5,org_9JtqJMaA1h3ZCo8gbehi
ADCO Technologies,"ADCO Aerospace, Inc.",org_omb9qvVg3ki1VHdzShyn,ADCO,0,2,org_omb9qvVg3ki1VHdzShyn
ADCO Technologies,"ADCO Buckets, Inc.",org_0YM9VBVdFAeiF0sKQ5jU,ADCO,0,1,org_0YM9VBVdFAeiF0sKQ5jU
