firm,ipo_date,ticker,CUSIP,CRSP perm,post-issue shares,dual dum,Founding,Rollup dum
APPLIED LASER SYSTEMS,19920310,LZZRA,03820M202,77398,5400000,0,1987,0
Applied Micro Circuits Corp,19971125,AMCC,03822W109,85522,19098158,0,1979,0
Applied Microsystems,19951114,APMC,37935103,82550,6467559,0,1979,0
Applied Molecular Evolution,20000726,AMEV,3.82E+111,88420,18023000,0,1989,0
Applied Optoelectronics,20130926,AAOI,03823U102,14145,12604334,0,1997,0
Applied Power,19870805,APWR,38225108,11581,5948187,1,1910,0
Applied Science & Technology,19931110,ASTX,38236105,79798,4345042,0,1987,0
Applied Signal Technology,19930326,APSG,38237103,78953,7349274,0,1984,0
APPLIED SOLAR ENERGY,19790806,SOLR,3823920,14737,2300000,0,1978,.
Applied Voice Technology,19941208,AVTC,03828M105,81142,4904000,0,1982,0
Apptio Inc,20160923,APTI,03835C108,16282,37285839,1,2007,0
Aprogenex,19931015,APG,38333100,79757,4447707,0,1988,0
APS Holding,19930923,APSI,1937101,79567,13110288,1,1957,0
Aqua Care Systems,19931014,AQCR,38373205,79677,3005000,0,1990,0
Aqua Metals Inc,20150731,AQMS,03837J101,15493,13425384,0,2014,0
Aquinox Pharmaceuticals Inc,20140306,AQXP,03842B101,14535,10675260,0,2003,0
Aradigm,19960620,ARDM,38505103,83622,10068466,0,1991,0
Aratana Therapeutics Inc,20130626,PETX,03874P101,13966,20722266,0,2010,0
Arbor Software,19951106,ARSW,38918108,82551,10504764,0,1991,0
Arcadia Biosciences Inc,20150515,RKDA,39014105,15382,43175310,0,2002,0
Arcadian,19950803,ACA,39229109,81914,30091393,0,1992,0
Archipelago Holdings Inc,20040812,AX,03957A104,91143,47960865,0,1996,.
ARCHIVE CORP.,19831216,ACHV,3957510,14833,10257000,0,1980,0
ARCO Chemical,19870928,RCM,1920107,75106,100500001,0,1957,0
ArcSight Inc,20080214,ARST,39666102,92552,30941015,0,2000,0
ArcSys,19950606,ARCS,03966P100,81683,8984705,0,1991,0
Arctco,19900626,ACAT,39665104,76207,12418281,0,1965,0
Arcturus,19861202,ARTU,03968F209,10936,1933548,0,1937,0
Ardelyx Inc,20140619,ARDX,3969710,14690,18529067,0,2007,0
Arena Pharmaceuticals Inc,20000728,ARNA,40047102,88421,21000000,0,1997,0
Argonaut Technologies Inc,20000719,AGNT,40175101,88418,8710000,0,1994,0
Argos Therapeutics,20140207,ARGS,40221103,14447,19048958,0,1997,0
ARGOSYSTEMS,19821202,ARGI,4023910,14905,3210000,0,1969,0
Ariba Inc,19990622,ARBA,04033V104,87013,47748596,0,1996,0
Ariel,19950124,ADSP,04033M203,81196,4533625,0,1982,0
Aris Corp,19970618,ARSC,04040A101,85001,9423900,0,1990,0
Arista Networks Inc,20140606,ANET,40413106,14714,63582416,0,2004,0
Aristech Chemical,19861126,ARS,40422107,70359,22500000,0,1966,0
ARIX,19881004,ARIX,40453102,12119,7477654,0,1982,0
ARLEY MERCHANDISE,19841115,ARY,4133520,66819,4110000,0,1947,0
Armor All Products,19861002,ARMR,42256107,10721,20900000,0,1972,0
ArQule,19961016,ARQL,4.27E+110,84052,9476876,0,1993,0
Array Biopharma Inc,20001117,ARRY,04269X105,88790,21500000,0,1998,0
Arris Pharmaceuticals,19931119,ARRS,04269W107,79794,8449297,0,1989,0
Arrow International,19920609,ARRO,42764100,77667,26400097,0,1975,0
ArrowPoint Communications Inc,20000330,ARPT,42810101,87829,34218000,0,1997,0
Art Technology Group Inc,19990720,ARTG,04289L107,87099,30557000,0,1991,0
ARTEL COMMUNICATIONS,19830602,AXXX,4300910,15131,3285000,0,1981,0
Arterial Vascular Engineering,19960402,AVEI,43013101,83357,33489618,0,1991,0
Artes Medical,20061220,ARTE,04301Q100,91660,15634343,0,1999,0
Arthrocare,19960205,ARTC,43136100,83113,8330178,0,1993,0
Artisan Components Inc,19980202,ARTI,42923102,85803,8638339,0,1991,0
Artisoft,19910920,ASFT,04314L106,76842,26566400,0,1982,0
Aruba Networks Inc,20070326,ARUN,43176106,91888,75140978,0,2002,0
ARUS,19860814,ARSC,43204106,75511,9147105,0,1983,0
ARYx Therapeutics Inc,20071107,ARYX,43387109,92430,17536645,0,1997,0
Asahi/America,19960515,ASAM,04338D106,83470,3340000,0,1972,0
Asante Technologies,19931210,ASNT,43412105,79940,7284476,0,1988,0
Ascend Communications,19940512,ASND,43491109,80506,11211983,0,1989,0
Ascendis Pharma A/S,20150128,ASND,04351P101,15171,22935780,1,2006,0
Ascent Pediatrics Inc,19970529,ASCT,04362X101,84789,6638719,0,1989,0
Ascent Solar Technologies Inc,20060710,ASTIU,43635101,91428,5290909,0,2005,0
Aseco,19930316,ASEC,43659101,78954,3221052,0,1984,0
Ashland Coal,19880811,ACI,43906106,75326,11538500,0,1975,0
Asia Satellite,19960613,SAT,04516X106,83587,39000000,0,1996,0
Ask Jeeves Inc,19990701,ASKJ,4517410,87100,24349000,0,1996,0
Aspec Technology Inc,19980428,ASPC,45233103,85962,23260752,0,1991,1
Aspect Medical Systems Inc,20000127,ASPM,45235108,87571,16883078,0,1987,0
Aspect Telecommunications,19900501,ASPT,45237104,76165,9670488,0,1985,0
