ipo_firm,assignee_firm,ticker,is_common,patent_cnt
Affiliated Computer Services,"Affiliated Computer Services, Inc.",ACSA,1,10
Affinity Biotech,"Affinity Biotech, Inc.",AFBI,0,7
Affinity Technology Group,"Affinity Technology Group, Inc.",AFFI,1,3
Affymax,Affymax Research Institute,AFFY,0,1
Affymax,Affymax Technologies N.V.,AFFY,0,77
Affymax,"Affymax, Inc.",AFFY,0,23
Affymetrix,"Affymetrix Technologies, N.V.",AFFX,0,1
Affymetrix,"Affymetrix, Inc.",AFFX,0,544
AG Associates,AG Associates,AGAI,1,7
AG Associates,AG Associates (Israel) Ltd.,AGAI,1,1
AG Associates,"AG Associates, Inc.",AGAI,1,1
AGCO,AGCO Corporation,AGCO,0,542
AGCO,AGCO do Brasil,AGCO,0,1
AGCO,AGCO do Brasil Comercio a Industria Ltd,AGCO,0,1
AGCO,AGCO Do Brasil Comercio e Industria Ltda,AGCO,0,3
AGCO,AGCO DO BRASIL SA LTDA,AGCO,0,2
AGCO,AGCO DO BRASIL SOLUÃƒâ€¡Ãƒâ€¢ES AGRICOLAS LTDA,AGCO,0,1
AGCO,AGCO Engineering Group,AGCO,0,1
AGCO,AGCO Feucht GmbH,AGCO,0,1
AGCO,AGCO Incorporated GmbH,AGCO,0,1
AGCO,AGCO Interenational GmbH,AGCO,0,1
AGCO,AGCO International GmbH,AGCO,0,78
AGCO,AGCO Netherlands B.V,AGCO,0,7
AGCO,"AGCO-Amity JV, LLC",AGCO,0,7
AGENCY.COM Ltd,Agency.Com Ltd.,ACOM,0,1
Agere Systems Inc,Agere Systems Cuardian Corp.,AGR,0,1
Agere Systems Inc,Agere Systems Gaurdian Corp.,AGR,0,1
Agere Systems Inc,Agere Systems Guardian Corp.,AGR,0,622
Agere Systems Inc,Agere Systems Guardin Corp.,AGR,0,1
Agere Systems Inc,Agere Systems Guradian Corp.,AGR,0,1
Agere Systems Inc,Agere Systems Inc.,AGR,0,2357
Agere Systems Inc,Agere Systems Opto Electronics Guardian Inc.,AGR,0,1
